word,context,frequency,definition
collocate,There are specific words we collocate it with.,1.29e-08,have a strong tendency to occur side by side
uncouple,"I'm just uncoupling was what Gwyneth Paltrow had called it when she was like, this is conscious uncoupling.",7.94e-08,disconnect or separate
gushy,"It's not always mushy, gushy.",9.12e-08,extravagantly demonstrative
collocation,It was one of the first ones that you were talking about the collocations and that one kind of popped out of your mouth.,1.05e-07,a grouping of words in a sentence
uncoupling,"I'm just uncoupling was what Gwyneth Paltrow had called it when she was like, this is conscious uncoupling.",1.95e-07,disconnect or separate
aller,"So be sure you're following here on Aller's English and business English, because sometimes a phrase like that we use in daily conversations and also a lot at work.",2e-07,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
paltrow,"I'm just uncoupling was what Gwyneth Paltrow had called it when she was like, this is conscious uncoupling.",4.79e-07,Definition not found
hiker,and now she's a huge hiker.,6.03e-07,a foot traveler; someone who goes on an extended walk (for pleasure)
gwyneth,"I'm just uncoupling was what Gwyneth Paltrow had called it when she was like, this is conscious uncoupling.",6.92e-07,Definition not found
mushy,"It's not always mushy, gushy.",8.71e-07,having the consistency of mush
ukulele,"He plays the guitar, the banjo and the ukulele.",1.02e-06,a small guitar having four strings
brie,"Oh, Brie, good to see you.",1.2e-06,soft creamy white cheese; milder than Camembert
banjo,"He plays the guitar, the banjo and the ukulele.",1.86e-06,a stringed instrument of the guitar family that has long neck and circular body
aubrey,"Aubrey, today I noticed that you threw out that word a mutual friend.",2.04e-06,Definition not found
takeaway,"Well, anything you want to add for the takeaway today?",2.09e-06,prepared food that is intended to be eaten off of the premises
matchmaking,So it doesn't have to be a big matchmaking situation.,2.14e-06,mediation in order to bring about a marriage between others
ditto,"And I really love that here because if you just say me too or like ditto, there's not a lot of care there.",2.4e-06,a mark used to indicate the word above it should be repeated
teaser,"I'll leave a little teaser and that's mutually exclusive, but we'll do that on another episode because that is definitely a good one to say something is or isn't mutually exclusive.",2.95e-06,a worker who teases wool
preschool,"She became my close friend and I had this feeling that she was just a really good fit for my friend, my friend, Jonathan from preschool.",3.24e-06,an educational institution for children too young for elementary school
