Word,Frequency,Definition,Context
brunching,2.14e-08,,Just brunching.
overprice,2.82e-08,,That restaurant is overpriced and the portions are small.
allers,3.31e-08,,"And we are super excited to answer your question, Ilser, in our unique style that we do here at Allers English."
overhype,4.37e-08,,And we've talked about this idea of things being overhyped before a little bit.
estevan,7.08e-08,,"Yes, special thank you to the following users of the Android app anonymous W6-6 Vishnu Priya from California, Mohamed Mirzai, Fayed Shake, Khazra and BL Estevan."
overrate,9.12e-08,,"Or overrated, right?"
underrate,1.29e-07,,"And we also say underrated, which could be another episode for another day, right?"
fayed,1.78e-07,,"Yes, special thank you to the following users of the Android app anonymous W6-6 Vishnu Priya from California, Mohamed Mirzai, Fayed Shake, Khazra and BL Estevan."
overhyped,2.45e-07,,Overhyped.
letdown,4.47e-07,,"To me, it was kind of a letdown."
roleplay,6.61e-07,,"And I was noticing as we were doing this roleplay, there are a lot of little ways that we kind of qualify these things and show that there are opinions."
connoisseur,7.76e-07,,"I can't say that I'm a gym connoisseur, but I'm just saying in general, things you have to pay a lot for."
priya,8.32e-07,,"Yes, special thank you to the following users of the Android app anonymous W6-6 Vishnu Priya from California, Mohamed Mirzai, Fayed Shake, Khazra and BL Estevan."
vishnu,8.51e-07,,"Yes, special thank you to the following users of the Android app anonymous W6-6 Vishnu Priya from California, Mohamed Mirzai, Fayed Shake, Khazra and BL Estevan."
friendliness,8.51e-07,,The friendliness of the people was unbelievable.
sassy,1.62e-06,,This is a sassy Saturday.
appreciative,1.74e-06,,We're so appreciative.
aubrey,2.04e-06,,"Hey, Lindsay, Michelle and Aubrey."
legitimately,2.29e-06,,"Legitimately, a good movie."
soften,2.29e-06,,"If you want to add those little qualifiers to kind of soften it or just make sure people know that, you know, this is just what I think, but."
bl,2.34e-06,,"Yes, special thank you to the following users of the Android app anonymous W6-6 Vishnu Priya from California, Mohamed Mirzai, Fayed Shake, Khazra and BL Estevan."
qualifier,2.57e-06,,"If you want to add those little qualifiers to kind of soften it or just make sure people know that, you know, this is just what I think, but."
truthful,2.63e-06,,"But we want to be truthful too, because if we don't tell our true opinions about things, we become a little bland and boring and it's OK to be spicy and say, actually, I didn't think it was worth all the hype."
